,Country,Category,Plant type,Capital costs,O&M,Fuel (th),Fuel (el),Carbon,CHP heat revenues,LCOE,Unnamed: 10
0,,,,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh
218,Belgium,Solar,Solar PV (residential) (0.010 MW),143.81,15.34,0.00,0.00,0.00,0.00,159.15,
219,"Korea, Republic of",Wind,Wind offshore (99.0 MW),115.89,45.10,0.00,0.00,0.00,0.00,160.99,
220,Italy,CHP,Biomass (CHP) (0.42 MW),70.42,59.00,15.62,154.82,0.00,-114.61,169.62,
221,Japan,Solar,Solar PV (utility scale) (2.0 MW),147.72,24.34,0.00,0.00,0.00,0.00,172.05,
222,Italy,Wind,Wind onshore (< 1 MW) (0.060 MW),136.39,39.28,0.00,0.00,0.00,0.00,175.67,
223,France,Fuel cell,Fuel cell (15.2 MW),30.28,36.75,50.00,111.11,0.00,0.00,178.14,
224,Italy,Wind,Wind onshore (< 1 MW) (0.19 MW),157.47,27.55,0.00,0.00,0.00,0.00,185.02,
225,Romania,CHP,"Pulverised, lignite (CHP) (2900 MW)",21.63,129.88,4.00,12.28,33.50,-1.63,195.65,
226,Japan,Wind,Wind offshore (100 MW),132.98,67.20,0.00,0.00,0.00,0.00,200.18,
227,France,Fuel cell,Fuel cell (0.20 MW),75.69,22.59,50.00,111.11,0.00,0.00,209.39,
228,Italy,Wind,Wind onshore (< 1 MW) (0.020 MW),170.23,41.87,0.00,0.00,0.00,0.00,212.10,
229,Japan,Solar,Solar PV (residential) (0.004 MW),200.40,22.91,0.00,0.00,0.00,0.00,223.30,
230,France,Fuel cell,Fuel cell (0.003 MW),83.26,42.66,50.00,111.11,0.00,0.00,237.03,
231,Italy,Wind,Wind onshore (< 1 MW) (0.059 MW),199.74,41.46,0.00,0.00,0.00,0.00,241.20,
232,Italy,Hydro,Run of river (< 5 MW) (0.50 MW),230.45,17.52,0.00,0.00,0.00,0.00,247.97,
233,Italy,Hydro,Run of river (< 5 MW) (0.25 MW),228.56,29.18,0.00,0.00,0.00,0.00,257.75,
234,Italy,Solar,Solar PV (residential) (0.004 MW),109.75,164.82,0.00,0.00,0.00,0.00,274.57,
235,Italy,Bio,Biomass (0.42 MW),70.42,59.00,15.62,159.42,0.00,0.00,288.84,
236,Italy,Hydro,Run of river (< 5 MW) (0.25 MW),358.24,51.07,0.00,0.00,0.00,0.00,409.32,
237,Italy,Wind,Wind onshore (< 1 MW) (0.014 MW),304.25,591.74,0.00,0.00,0.00,0.00,896.00,
